,Name,Year,Rate,Votes,Genre,Duration,Type,Certificate,Episodes,Nudity,Violence,Profanity,Alcohol,Frightening
2195,Antichrist,2009,6.6,"121,470","Drama, Horror, Thriller",108 ,Film,Not Rated,-,Severe,Severe,Mild,Mild,Severe
2196,Top Boy,2009,8.4,"15,626","Crime, Drama, Thriller",60 ,Series,Not Rated,19,Moderate,Severe,Severe,Severe,Severe
2197,Move to Heaven,2009,8.6,"3,555",Drama,60 ,Series,TV-MA,10,None,Mild,Mild,Mild,Mild
2198,The Following,2009,7.4,"85,439","Crime, Drama, Horror",43 ,Series,TV-14,45,Mild,Severe,Mild,Moderate,Severe
2199,Richard Jewell,2019,7.5,"75,555","Biography, Crime, Drama",131 ,Film,R,-,None,Moderate,Moderate,Mild,Moderate
2202,Mortal Kombat,1995,5.8,"114,570","Action, Adventure, Fantasy",101 ,Film,PG-13,-,None,Moderate,Mild,Mild,Moderate
2203,The Hustle,2019,5.4,"53,063","Comedy, Crime",93 ,Film,PG-13,-,Mild,None,Mild,Mild,None
2204,Hellboy,2019,5.2,"84,214","Action, Adventure, Fantasy",120 ,Film,R,-,Mild,Severe,Moderate,Moderate,Severe
2206,iCarly,2021,6.7,"36,383","Comedy, Family, Romance",30 ,Series,TV-G,95,Mild,Mild,Mild,None,None
2207,Revolutionary Road,2008,7.3,"205,415","Drama, Romance",119 ,Film,R,-,Moderate,Mild,Moderate,Moderate,Moderate
2208,Looper,2012,7.4,"551,567","Action, Drama, Sci-Fi",113 ,Film,R,-,Moderate,Severe,Severe,Moderate,Moderate
2209,Mission: Impossible,1996,7.1,"403,668","Action, Adventure, Thriller",110 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
2211,The Mosquito Coast,1996,7.0,"8,450","Adventure, Drama, Thriller",60 ,Series,TV-MA,8,None,Moderate,Moderate,Moderate,Moderate
2212,Slumdog Millionaire,2008,8.0,"819,274","Drama, Romance",120 ,Film,R,-,Mild,Moderate,Moderate,Moderate,Moderate
2213,Hell or High Water,2016,7.6,"215,057","Action, Crime, Drama",102 ,Film,R,-,Mild,Moderate,Moderate,Mild,Moderate
2214,(500) Days of Summer,2009,7.7,"489,549","Comedy, Drama, Romance",95 ,Film,PG-13,-,Mild,Mild,Moderate,Mild,None
2215,The Blob,1988,6.6,"35,041","Horror, Sci-Fi, Thriller",95 ,Film,R,-,Mild,Severe,Mild,Mild,Severe
2216,Son,2021,5.6,"3,700","Horror, Thriller",98 ,Film,Not Rated,-,Mild,Moderate,Moderate,Mild,Moderate
2218,Space Jam,1996,6.5,"189,578","Animation, Adventure, Comedy",88 ,Film,PG,-,Mild,Mild,Mild,Mild,Mild
2219,Superman,1978,7.3,"167,239","Action, Adventure, Drama",143 ,Film,PG,-,Mild,Mild,Mild,Mild,Mild
2220,Frankenstein,1931,7.8,"68,780","Drama, Horror, Sci-Fi",70 ,Film,Passed,-,None,Mild,None,Mild,Moderate
2222,Shot Caller,2017,7.3,"79,489","Crime, Drama, Thriller",121 ,Film,R,-,Moderate,Severe,Severe,Mild,Severe
2223,The Huntsman: Winter's War,2016,6.1,"104,105","Action, Adventure, Drama",114 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
2224,Into the Woods,2014,5.9,"136,839","Adventure, Comedy, Drama",125 ,Film,PG,-,None,Mild,None,None,Mild
2227,The A-Team,2014,7.5,"36,026","Action, Adventure, Crime",60 ,Series,TV-PG,97,None,Mild,Mild,Mild,Mild
2228,Trading Places,1983,7.5,"143,567",Comedy,116 ,Film,R,-,Moderate,Mild,Moderate,Moderate,Mild
2229,Home Improvement,1983,7.2,"41,852","Comedy, Family",22 ,Series,TV-PG,203,None,None,Mild,Mild,None
2230,Antebellum,2020,5.7,"23,270","Drama, Horror, Mystery",105 ,Film,R,-,Mild,Moderate,Moderate,Mild,Moderate
2231,The Book of Eli,2010,6.9,"304,459","Action, Adventure, Drama",118 ,Film,R,-,Mild,Severe,Moderate,Mild,Moderate
2232,Heartbeat,2010,6.8,"3,002","Drama, Comedy, Crime",50 ,Series,TV-PG,372,Mild,Mild,Mild,Moderate,Mild
2233,Contagion,2011,6.8,"293,504","Drama, Thriller",106 ,Film,PG-13,-,None,Moderate,Mild,Mild,Moderate
2234,Just Go with It,2011,6.4,"230,994","Comedy, Romance",117 ,Film,PG-13,-,Moderate,None,Mild,Mild,None
2235,Silence,2016,7.2,"106,238","Drama, History",161 ,Film,R,-,None,Severe,Mild,None,Severe
2236,Bo Burnham: Inside,2021,8.7,"38,101","Comedy, Drama, Music",87 ,Film,TV-MA,-,Mild,None,Severe,None,Moderate
2237,Deliverance,1972,7.7,"103,681","Adventure, Drama, Thriller",109 ,Film,R,-,Severe,Severe,Moderate,Mild,Severe
2238,The Thin Red Line,1998,7.6,"180,632","Drama, History, War",170 ,Film,R,-,Mild,Severe,Moderate,Mild,Severe
2239,Do the Right Thing,1989,8.0,"96,726","Comedy, Drama",120 ,Film,R,-,Moderate,Moderate,Severe,Mild,Moderate
2240,The Fault in Our Stars,2014,7.7,"358,103","Drama, Romance",126 ,Film,PG-13,-,Mild,Mild,Mild,Mild,Moderate
2242,Minamata,2020,7.7,"13,890",Drama,115 ,Film,R,-,Mild,Mild,Severe,Moderate,Moderate
2243,Leave It to Beaver,2020,7.5,"7,402","Comedy, Family",30 ,Series,TV-G,235,None,Mild,None,Mild,None
2244,"I, Robot",2004,7.1,"516,161","Action, Drama, Sci-Fi",115 ,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Moderate
2245,Unbroken,2014,7.2,"158,105","Action, Biography, Drama",137 ,Film,PG-13,-,Mild,Severe,Moderate,Mild,Moderate
2246,Big Eyes,2014,7.0,"89,585","Biography, Crime, Drama",106 ,Film,PG-13,-,None,Mild,Mild,Moderate,Mild
2247,Snowden,2016,7.3,"145,988","Biography, Crime, Drama",134 ,Film,R,-,Moderate,Mild,Moderate,Mild,None
2249,Blazing Saddles,1974,7.7,"131,978","Comedy, Western",93 ,Film,R,-,Mild,Mild,Moderate,Mild,None
2250,Robin Hood,2018,5.3,"69,178","Action, Adventure, Drama",116 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
2251,Vertigo,1958,8.3,"383,420","Mystery, Romance, Thriller",128 ,Film,PG,-,Mild,Mild,None,Mild,Moderate
2252,Assassin's Creed,2016,5.7,"192,548","Action, Adventure, Sci-Fi",115 ,Film,PG-13,-,None,Moderate,Mild,Mild,Moderate
2253,Ted,2012,6.9,"587,518",Comedy,106 ,Film,R,-,Moderate,Mild,Severe,Severe,None
2254,Con Air,1997,6.9,"286,154","Action, Crime, Thriller",115 ,Film,R,-,Mild,Severe,Severe,Mild,Moderate
2255,The Expendables,2010,6.5,"335,219","Action, Adventure, Thriller",103 ,Film,R,-,Mild,Severe,Moderate,Mild,Moderate
2256,Tales from the Crypt,2010,8.0,"23,121","Comedy, Crime, Fantasy",25 ,Series,TV-MA,96,Moderate,Severe,Moderate,Mild,Severe
2257,Shin seiki evangerion,2010,8.5,"58,648","Animation, Action, Drama",24 ,Series,TV-MA,26,Moderate,Severe,Moderate,Mild,Severe
2259,Masters of the Universe: Revelation,2021,5.1,"22,432","Animation, Short, Action",25 ,Series,TV-PG,15,None,Mild,None,None,Mild
2260,Polar,2019,6.3,"82,395","Action, Crime, Drama",118 ,Film,TV-MA,-,Severe,Severe,Severe,Severe,Moderate
2261,Judy,2019,6.8,"45,981","Biography, Drama, Romance",118 ,Film,PG-13,-,None,None,Moderate,Moderate,Mild
2262,Bee Movie,2007,6.1,"151,417","Animation, Adventure, Comedy",91 ,Film,PG,-,Mild,Mild,Mild,Mild,Mild
2263,Rise of the Footsoldier,2007,6.8,"19,974","Action, Biography, Crime",119 ,Film,R,-,Moderate,Severe,Severe,Severe,Severe
2264,Bone Tomahawk,2015,7.1,"93,605","Drama, Horror, Western",132 ,Film,Not Rated,-,Moderate,Severe,Mild,Mild,Severe
2265,Wynonna Earp,2015,7.5,"21,388","Action, Drama, Fantasy",43 ,Series,TV-14,49,Mild,Moderate,Moderate,Moderate,Moderate
2266,Isle of Dogs,2018,7.9,"152,176","Animation, Adventure, Comedy",101 ,Film,PG-13,-,None,Moderate,Mild,None,Moderate
2267,Dix pour cent,2018,8.3,"11,876","Comedy, Drama",52 ,Series,TV-MA,24,Moderate,None,Mild,Moderate,None
2269,Felicity,2021,6.8,"11,160","Drama, Romance",60 ,Series,TV-14,84,Mild,Mild,Moderate,Mild,Mild
2270,The Count of Monte Cristo,2002,7.7,"133,384","Action, Adventure, Drama",131 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
2272,The Babysitters,2007,5.6,"11,438",Drama,88 ,Film,R,-,Moderate,Mild,Moderate,Moderate,Mild
2273,Ghost Whisperer,2007,6.4,"44,217","Drama, Fantasy",60 ,Series,TV-PG,107,Mild,Mild,Mild,Mild,Moderate
2274,Okja,2017,7.3,"113,282","Action, Adventure, Drama",120 ,Film,TV-MA,-,Mild,Moderate,Moderate,Mild,Severe
2275,Everest,2015,7.1,"208,657","Action, Adventure, Biography",121 ,Film,PG-13,-,None,Mild,None,Mild,Moderate
2276,Percy Jackson & the Olympians: The Lightning Thief,2010,5.9,"182,695","Adventure, Family, Fantasy",118 ,Film,PG,-,None,Moderate,Mild,Mild,Moderate
2277,Beasts of No Nation,2015,7.7,"77,859","Drama, War",137 ,Film,TV-MA,-,Moderate,Severe,Moderate,Moderate,Severe
2278,Hackers,1995,6.2,"67,519","Comedy, Crime, Drama",105 ,Film,PG-13,-,Moderate,Mild,Mild,Mild,None
2279,Moulin Rouge!,2001,7.6,"274,218","Drama, Musical, Romance",127 ,Film,PG-13,-,Mild,Mild,Mild,Mild,Mild
2281,Blue Valentine,2010,7.3,"190,897","Drama, Romance",112 ,Film,R,-,Severe,Moderate,Severe,Moderate,Moderate
2283,Kindergarten Cop,1990,6.2,"142,709","Action, Comedy, Crime",111 ,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Moderate
2284,This Is the End,2013,6.6,"396,239",Comedy,107 ,Film,R,-,Severe,Severe,Severe,Severe,Moderate
2285,The Gift,2015,7.0,"148,028","Drama, Mystery, Thriller",108 ,Film,R,-,Mild,Mild,Moderate,Mild,Moderate
2286,The 4400,2015,7.3,"43,722","Drama, Mystery, Sci-Fi",43 ,Series,TV-14,44,Moderate,Moderate,Mild,Mild,Moderate
2287,Monsters University,2013,7.2,"338,526","Animation, Adventure, Comedy",104 ,Film,G,-,None,None,None,None,Mild
2288,La piel que habito,2011,7.6,"145,627","Drama, Horror, Thriller",120 ,Film,R,-,Severe,Severe,Moderate,Moderate,Severe
2289,Drag Me to Hell,2009,6.5,"194,992",Horror,99 ,Film,PG-13,-,Mild,Severe,Mild,Mild,Severe
2290,Sicario: Day of the Soldado,2018,7.1,"136,602","Action, Adventure, Crime",122 ,Film,R,-,None,Severe,Moderate,Mild,Severe
2291,A Bronx Tale,1993,7.8,"134,478","Crime, Drama",121 ,Film,R,-,None,Moderate,Severe,Mild,Mild
2292,Rumor Has It...,2005,5.5,"56,343","Comedy, Drama, Romance",97 ,Film,PG-13,-,Mild,None,Mild,Mild,None
2293,When Harry Met Sally...,1989,7.6,"206,286","Comedy, Drama, Romance",95 ,Film,R,-,Mild,None,Moderate,Mild,None
2294,The Fosters,1989,7.9,"26,348","Drama, Romance",60 ,Series,TV-14,104,Moderate,Mild,Mild,Mild,Mild
2295,Sleepaway Camp,1983,6.3,"29,814",Horror,84 ,Film,R,-,Moderate,Severe,Moderate,Mild,Moderate
2296,Sleeping Beauty,2011,5.3,"31,941","Drama, Romance, Thriller",101 ,Film,Not Rated,-,Severe,Mild,Moderate,Moderate,Moderate
2297,Transformers: The Last Knight,2017,5.2,"142,844","Action, Adventure, Sci-Fi",154 ,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Moderate
2298,Passing,2021,6.8,315,Drama,98 ,Film,PG-13,-,Mild,Mild,Mild,Mild,Mild
2299,The Death of Stalin,2017,7.3,"95,065","Comedy, Drama, History",107 ,Film,R,-,None,Moderate,Severe,Mild,Mild
2300,Under Wraps,1997,6.5,"2,829","Comedy, Family, Horror",95 ,Film,G,-,None,Moderate,None,None,Mild
2301,The Omen,1976,7.5,"112,851",Horror,111 ,Film,R,-,Mild,Moderate,Mild,Mild,Severe
2302,A League of Their Own,1992,7.3,"99,495","Comedy, Drama, Sport",128 ,Film,PG,-,Mild,Mild,Mild,Mild,Mild
2303,Big Hero 6,2014,7.8,"430,849","Animation, Action, Adventure",102 ,Film,PG,-,None,Mild,None,None,Mild
2304,Dracula,1931,7.5,"49,504","Drama, Fantasy, Horror",75 ,Film,Passed,-,None,Mild,None,Mild,Mild
2305,The Other Guys,2010,6.7,"253,460","Action, Comedy, Crime",107 ,Film,PG-13,-,Mild,Moderate,Moderate,Mild,None
2306,He's Just Not That Into You,2009,6.4,"167,023","Comedy, Drama, Romance",129 ,Film,PG-13,-,Moderate,None,Moderate,Mild,None
2307,Warcraft,2016,6.8,"253,612","Action, Adventure, Fantasy",123 ,Film,PG-13,-,None,Moderate,Mild,None,Moderate
2308,Eraserhead,1977,7.4,"109,694","Fantasy, Horror, Thriller",89 ,Film,Not Rated,-,Mild,Moderate,Mild,None,Severe
2309,Once Upon a Time in Mexico,2003,6.4,"157,719","Action, Crime, Thriller",102 ,Film,R,-,Mild,Severe,Moderate,Mild,Moderate
2310,Master and Commander: The Far Side of the World,2003,7.4,"211,885","Action, Adventure, Drama",138 ,Film,PG-13,-,None,Moderate,Mild,Mild,Moderate
2312,Dragon Ball Z,2003,8.7,"120,310","Animation, Action, Adventure",24 ,Series,TV-PG,277,Mild,Moderate,Mild,Mild,Moderate
2313,Bando,2020,5.5,"28,247","Action, Horror, Thriller",116 ,Film,Not Rated,-,None,Severe,Mild,Mild,Moderate
2315,RocknRolla,2008,7.3,"243,702","Action, Crime, Thriller",114 ,Film,R,-,Mild,Severe,Severe,Moderate,Moderate
2316,Power Book II: Ghost,2008,6.9,"4,453","Crime, Drama",60 ,Series,TV-MA,20,Severe,Severe,Severe,Mild,Moderate
2318,The Life Aquatic with Steve Zissou,2004,7.3,"187,352","Action, Adventure, Comedy",119 ,Film,R,-,Moderate,Mild,Moderate,Moderate,Mild
2319,The Patriot,2000,7.2,"263,252","Action, Drama, History",165 ,Film,R,-,None,Severe,Mild,Mild,Moderate
2321,A Cinderella Story,2004,5.9,"84,248","Comedy, Family, Romance",95 ,Film,PG,-,None,None,None,None,Mild
2322,Old School,2003,7.1,"223,128",Comedy,88 ,Film,R,-,Moderate,Mild,Moderate,Moderate,None
2323,High Life,2018,5.8,"32,274","Adventure, Drama, Horror",113 ,Film,R,-,Severe,Severe,Moderate,Mild,Severe
2324,Sky High,2005,6.2,"83,272","Adventure, Comedy, Family",100 ,Film,PG,-,Mild,Mild,None,None,Mild
2325,Silverado,1985,7.2,"41,327","Action, Crime, Drama",133 ,Film,PG-13,-,None,Moderate,Mild,Mild,Mild
2326,Mr. Nobody,2009,7.8,"224,691","Drama, Fantasy, Romance",141 ,Film,R,-,Moderate,Mild,Mild,Mild,Mild
2328,Dickinson,2022,7.4,"8,729","Biography, Comedy, Drama",30 ,Series,TV-14,30,Moderate,None,Mild,Mild,None
2329,Mank,2020,6.9,"66,789","Biography, Comedy, Drama",131 ,Film,R,-,Mild,Mild,Mild,Moderate,Mild
2331,Ammonite,2020,6.5,"13,011","Biography, Drama, History",120 ,Film,R,-,Severe,None,Mild,None,None
2332,Men in Black 3,2012,6.8,"346,992","Action, Adventure, Comedy",106 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
2333,Liar Liar,1997,6.9,"293,711","Comedy, Fantasy",86 ,Film,PG-13,-,Moderate,Mild,Mild,Mild,None
2334,Night Court,1997,7.6,"11,825",Comedy,30 ,Series,TV-PG,193,Mild,Mild,Moderate,Mild,None
2335,Homefront,2013,6.5,"115,503","Action, Crime, Thriller",100 ,Film,R,-,Mild,Severe,Severe,Moderate,Moderate
2336,Matlock,2013,7.0,"7,161","Crime, Drama, Mystery",60 ,Series,TV-PG,181,Mild,Mild,None,Mild,None
2337,Furious 6,2013,7.0,"382,192","Action, Adventure, Thriller",130 ,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Mild
2338,Three's Company,2013,7.5,"13,587",Comedy,30 ,Series,TV-PG,174,Mild,None,Mild,Mild,None
2339,Black and Blue,2019,6.4,"20,172","Action, Crime, Thriller",108 ,Film,R,-,None,Moderate,Moderate,None,Moderate
2340,Vicky Cristina Barcelona,2008,7.1,"248,942","Comedy, Drama, Romance",96 ,Film,PG-13,-,Mild,Mild,Mild,Mild,Mild
2341,Horrible Bosses,2011,6.8,"433,267","Comedy, Crime",98 ,Film,R,-,Moderate,Mild,Severe,Mild,None
2342,Lawless,2012,7.3,"235,103","Crime, Drama",116 ,Film,R,-,Moderate,Severe,Moderate,Moderate,Moderate
2343,Elektra,2005,4.7,"90,046","Action, Adventure, Crime",97 ,Film,PG-13,-,None,Moderate,Mild,None,Mild
2344,Wings,2005,7.2,"11,780","Comedy, Drama",30 ,Series,TV-PG,172,Mild,None,Mild,Mild,None
2345,Death Becomes Her,1992,6.6,"111,983","Comedy, Fantasy, Horror",104 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Mild
2346,Home Before Dark,1992,7.5,"9,094","Crime, Drama, Mystery",45 ,Series,TV-14,20,None,Mild,Mild,Mild,Mild
2347,Spooks,1992,8.2,"15,401","Action, Crime, Drama",60 ,Series,TV-14,86,Moderate,Moderate,Moderate,Mild,Moderate
2348,Fear and Loathing in Las Vegas,1998,7.6,"269,345","Adventure, Comedy, Drama",118 ,Film,R,-,Mild,Mild,Severe,Severe,Severe
2349,Creep,2014,6.4,"48,305","Horror, Thriller",77 ,Film,R,-,Moderate,Mild,Moderate,Mild,Moderate
2351,Alvin and the Chipmunks,2007,5.2,"80,971","Animation, Adventure, Comedy",92 ,Film,PG,-,Mild,Mild,Mild,Mild,Mild
2352,EastEnders,2007,4.7,"8,018","Crime, Drama, Romance",30 ,Series,TV-PG,8002,Mild,Moderate,Mild,Moderate,Severe
2353,RED 2,2013,6.6,"165,555","Action, Adventure, Comedy",116 ,Film,PG-13,-,None,Moderate,Moderate,Mild,Mild
2355,Men in Black: International,2019,5.6,"123,539","Action, Adventure, Comedy",114 ,Film,PG-13,-,Mild,Mild,Mild,Mild,Mild
2356,All in the Family,2019,8.3,"15,249","Comedy, Drama",30 ,Series,TV-PG,208,Mild,None,Moderate,Mild,None
2357,Pokémon: Detective Pikachu,2019,6.6,"150,485","Action, Adventure, Comedy",104 ,Film,PG,-,None,Mild,Mild,Mild,Mild
2358,Magic Mike,2012,6.1,"134,937","Comedy, Drama",110 ,Film,R,-,Severe,Mild,Severe,Severe,Mild
2359,Battleship,2012,5.8,"241,840","Action, Adventure, Sci-Fi",131 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Mild
2361,Lois & Clark: The New Adventures of Superman,2012,6.7,"22,945","Adventure, Comedy, Drama",46 ,Series,TV-PG,87,None,Mild,Mild,Mild,Mild
2362,The Purge: Anarchy,2014,6.4,"146,281","Action, Horror, Sci-Fi",103 ,Film,R,-,Mild,Severe,Severe,Moderate,Severe
2363,Primal Fear,1996,7.7,"201,021","Crime, Drama, Mystery",129 ,Film,R,-,Moderate,Moderate,Severe,Mild,Moderate
2364,Serenity,2005,7.8,"289,545","Action, Adventure, Sci-Fi",119 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
2365,Mystic Pizza,1988,6.3,"27,882","Comedy, Drama, Romance",104 ,Film,R,-,Mild,None,Moderate,Mild,None
2366,Chappie,2015,6.8,"240,135","Action, Crime, Drama",120 ,Film,R,-,Mild,Severe,Severe,Moderate,Moderate
2367,To Die For,1995,6.8,"46,204","Comedy, Crime, Drama",106 ,Film,R,-,Moderate,Mild,Moderate,Mild,Mild
2368,Bad Times at the El Royale,2018,7.1,"138,730","Crime, Drama, Mystery",141 ,Film,R,-,Mild,Severe,Moderate,Moderate,Moderate
2369,Limitless,2011,7.4,"546,100","Sci-Fi, Thriller",105 ,Film,PG-13,-,Moderate,Moderate,Moderate,Severe,Moderate
2370,Blue Velvet,1986,7.7,"189,693","Drama, Mystery, Thriller",120 ,Film,R,-,Severe,Severe,Severe,Moderate,Severe
2371,Ride Along 2,2016,5.9,"55,926","Action, Comedy, Crime",102 ,Film,PG-13,-,Mild,Mild,Moderate,Mild,None
2372,Dodgeball: A True Underdog Story,2004,6.7,"238,223","Comedy, Sport",92 ,Film,PG-13,-,Moderate,Mild,Moderate,Mild,None
2373,Color Out of Space,2019,6.2,"41,559","Horror, Mystery, Sci-Fi",111 ,Film,Unrated,-,Mild,Severe,Severe,Mild,Severe
2374,Immortals,2011,6.0,"164,690","Action, Drama, Fantasy",110 ,Film,R,-,Moderate,Severe,Mild,None,Moderate
2375,X-Men: The Last Stand,2006,6.7,"497,193","Action, Adventure, Sci-Fi",104 ,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Moderate
2376,Utopia,2020,6.7,"12,329","Action, Drama, Mystery",55 ,Series,TV-MA,8,Mild,Severe,Moderate,Mild,Moderate
2377,How the West Was Won,1962,7.1,"19,878",Western,164 ,Film,G,-,None,Mild,None,Mild,Mild
2378,The Goes Wrong Show,1962,8.5,"1,598",Comedy,29 ,Series,TV-PG,12,Mild,Mild,Mild,Mild,Mild
2379,"Girl, Interrupted",1999,7.3,"173,524","Biography, Drama",127 ,Film,R,-,Mild,Moderate,Severe,Moderate,Moderate
2380,GLOW,1999,8.0,"43,122","Comedy, Drama, Sport",35 ,Series,TV-MA,30,Severe,Mild,Severe,Moderate,None
2381,Santa Clarita Diet,1999,7.8,"61,510","Comedy, Horror",30 ,Series,TV-MA,30,Mild,Severe,Severe,Mild,Moderate
2382,Panic Room,2002,6.8,"269,667","Crime, Drama, Thriller",112 ,Film,R,-,None,Severe,Severe,Mild,Severe
2383,Vice,2018,7.2,"133,704","Biography, Comedy, Drama",132 ,Film,R,-,Mild,Moderate,Moderate,Mild,Moderate
2384,Batman,2018,7.5,"20,261","Action, Adventure, Comedy",25 ,Series,TV-G,120,None,Mild,None,Mild,Mild
2385,The Craft: Legacy,2020,4.4,"10,808","Drama, Fantasy, Horror",97 ,Film,PG-13,-,Mild,Moderate,Mild,None,Mild
2386,Mononoke-hime,1997,8.4,"366,379","Animation, Action, Adventure",134 ,Film,PG-13,-,None,Severe,Mild,Mild,Moderate
2388,Inside No. 9,2022,8.5,"14,688","Comedy, Drama, Horror",30 ,Series,TV-MA,39,Mild,Moderate,Moderate,Mild,Moderate
2389,Near Dark,1987,7.0,"36,449","Action, Crime, Drama",94 ,Film,R,-,None,Moderate,Moderate,Mild,Moderate
2390,Death Note,2017,4.4,"80,935","Action, Crime, Drama",101 ,Film,TV-MA,-,Mild,Severe,Severe,Mild,Severe
2391,Marco Polo,2017,8.0,"68,402","Adventure, Drama, History",60 ,Series,TV-MA,20,Severe,Severe,Mild,Moderate,Moderate
2392,Karen,2021,2.8,"1,504","Crime, Drama, Thriller",89 ,Film,TV-14,-,Mild,Severe,Severe,Severe,Severe
2393,Before I Wake,2016,6.2,"43,533","Drama, Fantasy, Horror",97 ,Film,PG-13,-,None,Mild,None,Mild,Moderate
2394,Kol,2020,7.1,"25,697","Crime, Horror, Mystery",112 ,Film,TV-MA,-,None,Severe,Moderate,Mild,Severe
2395,It's a Wonderful Life,1946,8.6,"423,418","Drama, Family, Fantasy",130 ,Film,PG,-,None,Mild,None,Mild,Mild
2396,Shrek 2,2004,7.2,"437,621","Animation, Adventure, Comedy",93 ,Film,PG,-,Mild,Mild,Mild,Mild,Mild
2397,McLeod's Daughters,2004,7.3,"5,495","Drama, Romance",45 ,Series,TV-14,224,Mild,Mild,Mild,Mild,Moderate
2398,Peep Show,2004,8.6,"56,229",Comedy,25 ,Series,TV-MA,54,Moderate,Mild,Severe,Severe,None
2399,Strike,2004,7.9,"12,685","Crime, Drama, Mystery",60 ,Series,TV-MA,11,Mild,Moderate,Moderate,Moderate,Moderate
2400,Cube,1997,7.2,"221,474","Drama, Mystery, Sci-Fi",90 ,Film,R,-,Mild,Severe,Moderate,None,Severe
2401,The Howling,1981,6.6,"33,278",Horror,91 ,Film,R,-,Moderate,Severe,Mild,Mild,Severe
2402,Cowboys & Aliens,2011,6.0,"214,276","Action, Sci-Fi, Thriller",119 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
2403,The Place Beyond the Pines,2012,7.3,"256,757","Crime, Drama, Thriller",140 ,Film,R,-,Mild,Moderate,Severe,Moderate,Moderate
2404,Below Her Mouth,2016,5.5,"11,467","Drama, Romance",94 ,Film,Not Rated,-,Severe,None,Mild,Mild,None
2406,Superintelligence,2020,5.4,"8,571","Comedy, Romance, Sci-Fi",106 ,Film,PG,-,Mild,None,Mild,Mild,Mild
2407,Ace Ventura: Pet Detective,1994,6.9,"287,991",Comedy,86 ,Film,PG-13,-,Moderate,Mild,Moderate,Mild,Mild
2408,Der Untergang,2004,8.2,"342,483","Biography, Drama, History",156 ,Film,R,-,Mild,Severe,Mild,Moderate,Severe
2409,Arachnophobia,1990,6.4,"66,985","Comedy, Horror, Thriller",109 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Severe
2410,Gangster Squad,2013,6.7,"210,541","Action, Crime, Drama",113 ,Film,R,-,Mild,Severe,Severe,Moderate,Moderate
2411,Capone,2020,4.7,"18,869","Biography, Crime, Drama",103 ,Film,R,-,Mild,Severe,Severe,Moderate,Moderate
2412,Escape from New York,1981,7.2,"134,668","Action, Adventure, Sci-Fi",99 ,Film,R,-,Mild,Moderate,Moderate,Mild,Moderate
2413,Raging Bull,1980,8.2,"336,631","Biography, Drama, Sport",129 ,Film,R,-,Mild,Moderate,Severe,Mild,Moderate
2414,Honest Thief,2020,6.0,"43,570","Action, Crime, Drama",99 ,Film,PG-13,-,None,Moderate,Mild,Mild,Mild
2415,Sneaky Pete,2020,8.1,"33,471",Crime,60 ,Series,TV-MA,30,Moderate,Mild,Severe,Mild,Mild
2416,12 Mighty Orphans,2021,6.8,"2,576","History, Sport",118 ,Film,PG-13,-,Mild,Mild,Mild,Mild,Mild
2417,The Kitchen,2019,5.5,"18,911","Action, Crime, Drama",102 ,Film,R,-,Mild,Severe,Severe,Mild,Moderate
2418,The Lost World: Jurassic Park,1997,6.6,"395,341","Action, Adventure, Sci-Fi",129 ,Film,PG-13,-,None,Moderate,Mild,Mild,Severe
2420,The Wedding Singer,1998,6.9,"141,874","Comedy, Music, Romance",97 ,Film,PG-13,-,Mild,Mild,Moderate,Mild,None
2421,Dawn of the Dead,1978,7.9,"116,182","Horror, Thriller",127 ,Film,Unrated,-,Mild,Severe,Moderate,Mild,Severe
2422,The Twilight Saga: Eclipse,2010,5.0,"236,536","Action, Adventure, Drama",124 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
2423,The Circle,2010,7.3,"5,929","Game-Show, Reality-TV",48 ,Series,TV-MA,40,Mild,None,Moderate,Mild,None
2424,Deadly Friend,1986,5.6,"7,248","Drama, Horror, Sci-Fi",91 ,Film,R,-,None,Severe,Moderate,Mild,Severe
2425,Searching,2018,7.6,"152,434","Drama, Mystery, Thriller",102 ,Film,PG-13,-,None,Mild,Mild,Mild,Mild
2426,Rushmore,1998,7.7,"176,496","Comedy, Drama, Romance",93 ,Film,R,-,Mild,Mild,Moderate,Mild,None
2427,The Fugitive,1993,7.8,"279,990","Action, Crime, Drama",130 ,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Moderate
2429,Frontier,2021,7.2,"18,879","Adventure, Drama, History",60 ,Series,TV-MA,18,Moderate,Severe,Moderate,Mild,Moderate
